97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,177,177,177,177,97,97,177,97,97,177,177,177,177,97
97,177,177,177,177,97,97,177,97,97,177,177,177,177,97
97,177,177,177,177,97,97,177,97,97,177,177,177,177,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,177,97,97,97,177,97,97,97,177,97,97,97
97,97,97,177,97,97,97,177,97,97,97,177,97,97,97
97,97,97,177,177,177,177,177,177,177,177,177,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
97,97,97,97,97,97,97,177,97,97,97,97,97,97,97
